,precision,recall,f1-score,support
Ae.Aegypti_F,0.7245508982035929,0.657608695652174,0.6894586894586895,552.0
Ae.Aegypti_M,0.515695067264574,0.4474708171206226,0.4791666666666667,257.0
Cx.Quin_F,0.6282051282051282,0.266304347826087,0.37404580152671757,184.0
Cx.Quin_M,0.7114285714285714,0.6240601503759399,0.664886515353805,399.0
Noise,0.8143939393939394,0.9359452736318408,0.8709490740740742,1608.0
accuracy,0.7603333333333333,0.7603333333333333,0.7603333333333333,0.7603333333333333
macro avg,0.6788547208991612,0.5862778569213327,0.6157013494159906,3000.0
weighted avg,0.7471603087435257,0.7603333333333333,0.7461090960442419,3000.0
